epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,775.567,0.79459,0.73564,1.04255,0.61389,0.53846,0.56583,0.36166,1.53265,1.78633,1.38784,0.0009704,0.0009704,0.0009704
80,784.692,0.85093,0.77352,1.07936,0.55488,0.30769,0.33623,0.17414,2.00763,2.76526,1.92707,0.0009572,0.0009572,0.0009572
81,793.863,0.81854,0.74481,1.03049,0.58538,0.23077,0.23393,0.08709,1.91404,3.06458,1.90862,0.000944,0.000944,0.000944
82,803.04,0.85009,0.7616,1.07066,0.44607,0.30769,0.26481,0.11956,1.80327,2.95585,1.67221,0.0009308,0.0009308,0.0009308
83,812.399,0.79578,0.71292,1.01562,0.63523,0.30769,0.36615,0.24424,1.42359,2.25828,1.39962,0.0009176,0.0009176,0.0009176
84,821.749,0.76907,0.67522,0.99114,0.49918,0.61538,0.55404,0.3222,1.41236,1.8676,1.3049,0.0009044,0.0009044,0.0009044
85,831.009,0.81595,0.71685,1.03658,0.55717,0.61538,0.55617,0.36808,1.34613,1.81934,1.29424,0.0008912,0.0008912,0.0008912
86,840.233,0.8318,0.71747,1.04972,0.5238,0.61538,0.52798,0.27772,1.47048,2.21276,1.44748,0.000878,0.000878,0.000878
87,849.429,0.81197,0.71485,1.03604,0.56853,0.38462,0.4724,0.23219,1.66343,2.51749,1.58999,0.0008648,0.0008648,0.0008648
88,858.645,0.8291,0.76175,1.01525,0.39565,0.30769,0.31042,0.13313,1.73693,2.96553,1.60459,0.0008516,0.0008516,0.0008516
89,867.836,0.76888,0.73168,1.01793,0.74974,0.30769,0.39291,0.15286,1.58402,2.74469,1.46497,0.0008384,0.0008384,0.0008384
90,876.807,0.76129,0.68799,1.00709,0.58474,0.43513,0.49383,0.23866,1.54534,2.40559,1.4178,0.0008252,0.0008252,0.0008252
91,886.431,0.75071,0.68082,1.00737,0.61977,0.61538,0.60399,0.2815,1.51615,2.01716,1.36555,0.000812,0.000812,0.000812
92,896.243,0.72596,0.64513,0.9934,0.89267,0.64158,0.80664,0.39278,1.59153,1.60654,1.31345,0.0007988,0.0007988,0.0007988
93,905.818,0.75268,0.63518,0.97637,0.53189,0.76923,0.73613,0.40026,1.46421,1.44911,1.23443,0.0007856,0.0007856,0.0007856
94,915.066,0.76772,0.68912,1.03416,0.63287,0.84615,0.72323,0.44571,1.43261,1.30411,1.23857,0.0007724,0.0007724,0.0007724
95,924.461,0.69679,0.63408,0.99601,0.60546,0.76923,0.72894,0.45284,1.51903,1.39485,1.32481,0.0007592,0.0007592,0.0007592
96,937.014,0.71709,0.60984,0.99144,0.8325,0.53846,0.69389,0.37514,1.74883,1.70038,1.56606,0.000746,0.000746,0.000746
97,947.24,0.79905,0.68019,1.03765,0.7492,0.53846,0.65157,0.31712,1.8482,1.88516,1.70293,0.0007328,0.0007328,0.0007328
98,957.862,0.69978,0.61892,0.98203,0.68858,0.68112,0.65189,0.30308,1.90507,2.01781,1.81117,0.0007196,0.0007196,0.0007196
99,969.714,0.72219,0.64705,1.0118,0.70665,0.61538,0.61828,0.27739,1.99565,2.08658,1.91685,0.0007064,0.0007064,0.0007064
100,980.573,0.68503,0.62245,1.00407,0.66624,0.46154,0.55229,0.26236,2.02265,2.31059,1.87825,0.0006932,0.0006932,0.0006932
101,991.845,0.748,0.68044,1.00415,0.69657,0.46154,0.52092,0.22425,1.97807,2.36638,1.8528,0.00068,0.00068,0.00068
102,1001.01,0.73542,0.64384,1.01183,0.80868,0.46154,0.52783,0.24766,1.87398,2.58537,1.82536,0.0006668,0.0006668,0.0006668
103,1009.96,0.7174,0.5927,0.99655,0.82916,0.46154,0.53838,0.29939,1.68525,2.32559,1.68487,0.0006536,0.0006536,0.0006536
104,1018.79,0.71768,0.66376,0.99383,1,0.61299,0.66696,0.40118,1.35311,1.65866,1.32422,0.0006404,0.0006404,0.0006404
105,1027.55,0.6943,0.58451,0.98168,0.99244,0.61538,0.67901,0.42884,1.28562,1.62487,1.27394,0.0006272,0.0006272,0.0006272
106,1036.59,0.72395,0.59039,1.02381,0.98363,0.61538,0.64665,0.41664,1.29058,1.70812,1.28029,0.000614,0.000614,0.000614
107,1045.4,0.69713,0.60454,0.96649,0.9776,0.61538,0.63916,0.4189,1.28432,1.72384,1.27798,0.0006008,0.0006008,0.0006008
108,1054.54,0.65906,0.5473,0.94546,1,0.60119,0.64353,0.42845,1.28745,1.72661,1.25217,0.0005876,0.0005876,0.0005876
109,1063.48,0.67883,0.58852,0.99085,0.88204,0.61538,0.65109,0.40831,1.34169,1.76675,1.26539,0.0005744,0.0005744,0.0005744
110,1072.33,0.62387,0.58375,0.97407,0.88859,0.61374,0.65094,0.40571,1.38795,1.84565,1.29514,0.0005612,0.0005612,0.0005612
111,1080.99,0.66272,0.60895,0.98057,0.88867,0.61418,0.62246,0.3862,1.46267,1.91038,1.34148,0.000548,0.000548,0.000548
112,1089.77,0.69931,0.60094,0.97442,0.76135,0.53846,0.60923,0.30475,1.62566,2.16631,1.43584,0.0005348,0.0005348,0.0005348
113,1098.62,0.69689,0.59092,0.97473,0.60043,0.53846,0.57369,0.33371,1.57881,2.06882,1.39085,0.0005216,0.0005216,0.0005216
114,1108.95,0.65844,0.55724,0.96289,0.74434,0.44935,0.60401,0.39072,1.42767,2.01287,1.27023,0.0005084,0.0005084,0.0005084
